Id,Predicted
10005_2023-12-20,0.07265434
10015_2023-02-10,0.65616417
10025_2023-03-20,0.046650108
10027_2023-08-23,0.16316988
10030_2023-11-20,0.23321222
10032_2023-12-18,0.27386883
10037_2023-06-17,0.6878058
1003_2023-12-15,0.06942843
10042_2023-11-22,0.19389589
10043_2023-11-06,0.21909563
1004_2023-12-05,0.10903312
10052_2023-04-12,0.047805805
10057_2023-07-04,0.16936801
10059_2023-06-10,0.17527169
10061_2023-12-14,0.19389589
10062_2023-12-13,0.8609332
1006_2023-07-24,0.93235064
10070_2023-12-08,0.17226633
10072_2023-11-04,0.041952163
10073_2023-12-22,0.01941195
10075_2023-07-13,0.14921075
10080_2023-11-29,0.10612667
10084_2023-08-22,0.36896154
10085_2023-12-07,0.14173804
1008_2023-12-20,0.12760411
1009_2023-12-08,0.08374946
10102_2023-12-20,0.09388746
10103_2023-11-09,0.027033208
10106_2023-12-28,0.06634406
10110_2023-11-20,0.19389589
10122_2023-07-18,0.21560945
10124_2023-12-04,0.69544476
10126_2023-02-06,0.19389589
10134_2023-01-17,0.5046524
10145_2023-04-10,0.06569237
10146_2023-09-25,0.087177485
10149_2023-11-03,0.60469925
10155_2023-12-13,0.19389589
10157_2023-02-22,0.060492385
10159_2023-12-08,0.2771083
1015_2023-02-01,0.048167795
10162_2023-09-04,0.15826768
10163_2023-02-27,0.09607269
10168_2023-02-02,0.07342316
10169_2023-11-01,0.19389589
10173_2023-09-06,0.10506198
10176_2023-03-29,0.7626594
10179_2023-12-14,0.49161673
1017_2023-12-11,0.07582725
10184_2023-11-17,0.16946213
10185_2023-04-07,0.17881973
10186_2023-04-18,0.1977488
10191_2023-12-14,0.285155
10192_2023-12-14,0.044802967
10193_2023-11-09,0.08180605
10196_2023-11-03,0.19389589
10199_2023-11-10,0.7857965
10201_2023-11-03,0.10263627
10205_2023-12-20,0.16727635
10207_2023-12-20,0.48624244
10210_2023-12-08,0.5376276
10211_2023-11-28,0.08503709
10213_2023-12-20,0.21987332
10219_2023-11-09,0.81336594
10231_2023-11-21,0.6175361
10232_2023-04-27,0.22843519
10235_2023-11-14,0.02011143
10237_2023-11-21,0.25421277
1023_2023-03-13,0.96456337
10241_2023-09-06,0.07289898
10242_2023-12-15,0.11897772
10246_2023-12-23,0.19389589
10250_2023-12-08,0.40926117
10251_2023-08-07,0.44169596
10253_2023-08-07,0.23422447
10255_2023-12-08,0.951331
1025_2023-12-18,0.7168996
10264_2023-12-05,0.055731982
10266_2023-11-15,0.19389589
10270_2023-08-23,0.19389589
10273_2023-12-19,0.054286856
10276_2023-11-29,0.058461927
10279_2023-11-15,0.035997428
1027_2023-11-15,0.022625769
10283_2023-09-12,0.4686635
10286_2023-11-20,0.68703216
10289_2023-08-29,0.06791185
1028_2023-11-16,0.06324146
10290_2023-12-07,0.08953732
10291_2023-11-03,0.16488537
102_2023-11-14,0.051775273
10301_2023-12-08,0.6345699
10309_2023-12-14,0.080844186
10313_2023-12-11,0.0871115
10317_2023-07-03,0.0155861275
10321_2023-12-08,0.303231
10326_2023-11-06,0.033762336
10334_2023-12-05,0.075202465
10346_2023-10-14,0.6065028
10350_2023-12-21,0.06637202
10358_2023-11-05,0.23115486
10365_2023-12-07,0.07470713
10366_2023-12-01,0.7500487
10368_2023-12-26,0.07579964
1036_2023-12-14,0.76516265
10371_2023-07-27,0.40154153
10372_2023-02-02,0.6482228
10382_2023-11-15,0.040857926
1038_2023-11-10,0.31094453
10390_2023-11-09,0.14888458
10393_2023-07-13,0.050389968
10395_2023-12-21,0.3229088
10396_2023-12-16,0.06314634
10406_2023-11-20,0.3083456
10408_2023-08-03,0.82652324
10410_2023-11-27,0.0589046
10412_2023-04-26,0.38974562
10419_2023-11-26,0.6665876
10424_2023-12-07,0.43312484
10426_2023-08-09,0.028784899
10430_2023-04-11,0.22911896
